Date;Price
01/10/2022;22995
02/10/2022;22745
03/10/2022;22859
04/10/2022;22649
05/10/2022;22672
06/10/2022;22145
07/10/2022;22763
08/10/2022;22322
09/10/2022;22368
10/10/2022;22437
11/10/2022;22206
12/10/2022;22736
13/10/2022;22423
14/10/2022;22933
15/10/2022;22043
16/10/2022;22155
17/10/2022;22105
18/10/2022;22380
19/10/2022;22328
20/10/2022;22125
21/10/2022;22177
22/10/2022;22737
23/10/2022;22692
24/10/2022;22576
25/10/2022;22340
26/10/2022;22581
27/10/2022;22375
28/10/2022;22729
29/10/2022;22012
30/10/2022;22125
31/10/2022;22729
01/11/2022;22516
02/11/2022;22847
03/11/2022;22803
04/11/2022;22560
05/11/2022;22347
06/11/2022;22710
07/11/2022;22846
08/11/2022;22899
09/11/2022;22142
10/11/2022;22343
11/11/2022;22324
12/11/2022;22914
13/11/2022;22765
14/11/2022;22787
15/11/2022;22670
16/11/2022;22472
17/11/2022;22155
18/11/2022;22761
19/11/2022;22783
20/11/2022;22524
21/11/2022;22688
22/11/2022;22548
23/11/2022;22448
24/11/2022;22859
25/11/2022;22577
26/11/2022;22655
27/11/2022;22931
28/11/2022;22989
29/11/2022;22378
30/11/2022;22440
01/12/2022;22318
02/12/2022;22888
03/12/2022;22024
04/12/2022;22139
05/12/2022;22348
06/12/2022;22048
07/12/2022;22132
08/12/2022;22253
09/12/2022;22263
10/12/2022;22856
11/12/2022;22733
12/12/2022;22038
13/12/2022;22449
14/12/2022;22625
15/12/2022;22978
16/12/2022;22939
17/12/2022;22457
18/12/2022;22673
19/12/2022;22829
20/12/2022;22143
21/12/2022;22340
22/12/2022;22744
23/12/2022;22209
24/12/2022;22097
25/12/2022;22084
26/12/2022;22728
27/12/2022;22606
28/12/2022;22738
29/12/2022;22342
30/12/2022;22045
31/12/2022;22654
01/01/2022;22396
02/01/2022;22585
03/01/2022;22310
04/01/2022;22806
05/01/2022;22813
06/01/2022;22255
07/01/2022;22879
08/01/2022;22785
09/01/2022;22488
10/01/2022;22513
11/01/2022;22670
12/01/2022;22165
13/01/2022;22614
14/01/2022;22665
15/01/2022;22192
16/01/2022;22074
17/01/2022;22178
18/01/2022;22442
19/01/2022;22101
20/01/2022;22724
21/01/2022;22447
22/01/2022;22875
23/01/2022;22682
24/01/2022;22195
25/01/2022;22901
26/01/2022;22620
27/01/2022;22604
